,index,Unnamed: 0,Unnamed: 0.1,symbol,shortName,stockName,githubUser,verified,notes,website,industry
0,0,0,AMZN,AMZN,Amazon,amazon.com inc. common stock,amzn,1,,,Catalog/Specialty Distribution
1,1,1,WORK,WORK,Slack,slack technologies inc. class a common stock,slackapi,1,others: slackhq (not verified),,EDP Services
2,2,2,CSCO,CSCO,Cisco,cisco systems inc. common stock (de),cisco,1,,,Computer peripheral equipment
3,4,4,ESTC,ESTC,Elastic,elastic n.v. ordinary shares,elastic,0,referred to in the official site ,https://www.elastic.co/about/free-and-open?elektra=organic&storm=CLP&rogue=free-and-open-gic,Computer Software: Prepackaged Software
4,6,6,NFLX,NFLX,Netflix,netflix inc. common stock,netflix,0,referred to in the official site ,https://netflix.github.io/,Movies/Entertainment
5,7,7,PINS,PINS,Pinterest,pinterest inc. class a common stock,pinterest,1,,,
6,8,8,SSTK,SSTK,Shutterstock,shutterstock inc. common stock,shutterstock,1,,,
7,9,9,INTU,INTU,intuit,Intuit Inc.,intuit,0,referred to in the official site ,https://opensource.intuit.com/app/intuit-open-source/open-source,Computer Software: Prepackaged Software
8,10,10,OKTA,OKTA,Okta,okta inc. class a common stock,okta,1,,,EDP Services
9,11,11,SHOP,SHOP,Shopify,shopify inc. class a subordinate voting shares,shopify,0,referred to in the official site ,https://shopify.engineering/introducing-the-super-debugger-a-wireless-real-time-debugger-for-ios-apps,
10,12,12,ABNB,ABNB,Airbnb,airbnb inc. class a common stock,airbnb,1,,,Industrial Machinery/Components
11,13,13,ZEN,ZEN,Zendesk,zendesk inc. common stock,zendesk,1,,,EDP Services
12,14,14,ORCL,ORCL,Oracle,oracle corporation common stock,oracle,1,,,Computer Software: Prepackaged Software
13,15,15,FVRR,FVRR,Fiverr,fiverr international ltd. ordinary shares no par value,fiverr,0,referred to in the official site,https://opensource.fiverr.com/,Business Services
14,16,16,WIX,WIX,Wix.com,wix.com ltd. ordinary shares,wix,1,,,
15,17,17,ADSK,ADSK,Autodesk,autodesk inc. common stock,autodesk,1,,,Computer Software: Prepackaged Software
16,18,18,EB,EB,Eventbrite,eventbrite inc. class a common stock,eventbrite,0,referred to in the official site,https://www.eventbrite.com/open-source/,EDP Services
17,19,20,HUBS,HUBS,HubSpot,hubspot inc. common stock,hubspot,0,referred to in the official site,https://developers.hubspot.com/open-source,Computer Software: Prepackaged Software
18,20,21,ASAN,ASAN,Asana,asana inc. class a common stock,asana,1,,,Retail: Computer Software & Peripheral Equipment
19,22,24,GRPN,GRPN,Groupon,groupon inc. common stock,groupon,0,,,Advertising
20,23,25,JWN,JWN,Nordstrom,nordstrom inc. common stock,nordstrom,0,,,Clothing/Shoe/Accessory Stores
21,24,26,W,W,Wayfair,wayfair inc. class a common stock,wayfair,0,referred to in the official site,https://tech.wayfair.com/,Catalog/Specialty Distribution
22,25,27,TRUE,TRUE,TrueCar,truecar inc. common stock,truecar,1,,,
23,26,28,DDOG,DDOG,Datadog,datadog inc. class a common stock,datadog,1,,,EDP Services
24,27,29,VG,VG,Vonage,vonage holdings corp. common stock,vonage,0,,,Telecommunications Equipment
25,28,30,CERN,CERN,Cerner,cerner corporation common stock,cerner,0,referred to in the official site,https://engineering.cerner.com/blog/carbon-graphs-open-source-visualization-api/,Managed Health Care
