Holding,Symbol,NormalizedName,PaperCount,PaperFamilyCount,CitationCount
Apple Inc.,AAPL,apple inc,22628,19055,555962
Microsoft Corporation,MSFT,microsoft,85938,75358,3216226
Visa Inc. Class A,V,visa inc,1079,931,32233
NVIDIA Corporation,NVDA,nvidia,7168,5796,127897
PayPal Holdings Inc,PYPL,paypal,1310,1148,16664
Adobe Inc.,ADBE,adobe systems,7880,6834,148644
Intel Corporation,INTC,intel,72719,64439,1397150
Broadcom Inc.,AVGO,broadcom,12802,8991,198533
Qualcomm Inc,QCOM,qualcomm atheros,253,207,7246
Accenture Plc Class A,ACN,accenture,4804,4268,120239
Texas Instruments Incorporated,TXN,texas commission on environmental quality,151,151,2290
Oracle Corporation,ORCL,oracle corporation,4928,4595,110139
International Business Machines Corporation,IBM,helpage international,45,45,988
Intuit Inc.,INTU,intuit,1687,1535,21170
Lam Research Corporation,LRCX,lam research,3889,3141,64890
Global Payments Inc.,GPN,consortium of universities for global health,25,25,1077
NXP Semiconductors NV,NXPI,nxp semiconductors,4554,4432,49170
Cognizant Technology Solutions Corporation Class A,CTSH,cognizant,414,400,2391
KLA Corporation,KLAC,kla tencor,3401,3104,39428
TE Connectivity Ltd.,TEL,te connectivity,7586,6492,113210
HP Inc.,HPQ,hp software division,24,23,259
Microchip Technology Incorporated,MCHP,microchip technology,2094,1744,24075
Marvell Technology Group Ltd.,MRVL,marvell technology group,1258,1171,15657
Corning Inc,GLW,corning museum of glass,33,27,254
Zebra Technologies Corporation Class A,ZBRA,zebra technologies,311,248,4094
Dell Technologies Inc Class C,DELL,ministero dell economia e delle finanze,16,16,256
Trimble Inc.,TRMB,trimble navigation,234,168,6991
Western Digital Corporation,WDC,western oklahoma state college,4,4,19
Hewlett Packard Enterprise Co.,HPE,hewlett packard,63047,53742,1304231
Vanguard Cash Management Market Liquidity Fund,Other,vanguard healthcare,2,2,14
Fair Isaac Corporation,FICO,korea fair trade commission,3,3,0
Seagate Technology PLC,STX,seagate technology,9523,8280,122156
PTC Inc.,PTC,ptc,170,143,2628
ON Semiconductor Corporation,ON,fundamental research on matter institute for atomic and molecular physics,28,27,3106
Booz Allen Hamilton Holding Corporation Class A,BAH,booz allen hamilton,1525,1475,24000
Western Union Company,WU,western oklahoma state college,4,4,19
Universal Display Corporation,OLED,universal display corporation,618,530,17918
Ciena Corporation,CIEN,ciena,1634,1427,24295
IPG Photonics Corporation,IPGP,ipg photonics,832,795,23222
Lattice Semiconductor Corporation,LSCC,lattice semiconductor,866,740,13265
CACI International Inc Class A,CACI,caci,267,257,4469
NCR Corporation,NCR,ncr corporation,4921,4360,103160
Jabil Inc.,JBL,jabil circuit,103,96,1180
Silicon Laboratories Inc.,SLAB,silicon institute of technology,477,476,2916
National Instruments Corporation,NATI,hellenic national meteorological service,86,86,1989
Science Applications International Corp.,SAIC,belgian federal science policy office,11,11,339
Sabre Corp.,SABR,sabre corporation,46,45,1240
Xerox Holdings Corporation,XRX,fuji xerox,14028,11102,117879
Semtech Corporation,SMTC,semtech,243,217,3184
MaxLinear inc,MXL,maxlinear,448,381,3092
Rogers Corporation,ROG,rogers corporation,424,351,6417
Viavi Solutions Inc,VIAV,viavi solutions united states,1,1,0
MicroStrategy Incorporated Class A,MSTR,microstrategy,213,161,6164
Alliance Data Systems Corporation,ADS,the alliance for safe children,29,28,269
ManTech International Corporation Class A,MANT,mantech international,51,45,1091
Teradata Corporation,TDC,teradata,829,749,10512
Infinera Corporation,INFN,infinera,714,611,8384
SunPower Corporation,SPWR,sunpower,598,518,11351
Progress Software Corporation,PRGS,americans for medical progress,16,16,9
Rambus Inc.,RMBS,rambus,1871,1317,39450
Altair Engineering Inc. Class A,ALTR,altair engineering,837,779,13377
Avaya Holdings Corp.,AVYA,avaya,4160,3489,78956
Unisys Corporation,UIS,unisys,3753,3274,72897
MTS Systems Corporation,MTSC,mts systems corporation,499,447,11326
Veeco Instruments Inc.,VECO,veeco,662,604,11096
Harmonic Inc.,HLIT,harmonic inc,144,126,2442
Alpha and Omega Semiconductor Limited,AOSL,alpha college of engineering,119,119,357
Intelligent Systems Corporation,INS,intelligent actuator,18,18,12
Digimarc Corporation,DMRC,digimarc united states,1,1,1
Palantir Technologies Inc. Class A,PLTR,palantir technologies,539,453,11639
Cisco Systems,CSCO,cisco systems inc,19299,17491,429610
Advanced Micro Devices,AMD,alberta advanced education,8,8,49
Fidelity National Information Services,FIS,fidelity investments,139,136,2858
Micron Technology,MU,micron technology,21067,15661,413386
Square,SQ,medstar franklin square medical center,147,147,874
Applied Materials,AMAT,jasco applied sciences,138,136,725
Autodesk,ADSK,autodesk,1640,1470,24527
Analog Devices,ADI,analog devices,6048,5203,73539
Synopsys,SNPS,synopsys,4929,4472,62614
Cadence Design Systems,CDNS,cadence design systems,3870,3483,56015
Xilinx,XLNX,xilinx,5398,4947,81263
Palo Alto Networks,PANW,palo alto college,20,20,279
Trade Desk,TTD,department of trade and industry,7,7,5
ANSYS,ANSS,ansys,1348,1320,15828
Motorola Solutions,MSI,motorola solutions,2391,2231,25344
Skyworks Solutions,SWKS,skyworks solutions,1821,1296,15729
Maxim Integrated Products,MXIM,maxim integrated,1447,1168,17019
VeriSign,VRSN,verisign,370,304,8551
Fortinet,FTNT,fortinet,396,321,7005
Teradyne,TER,teradyne,1096,930,15047
EPAM Systems,EPAM,epam systems,36,33,78
Tyler Technologies,TYL,john tyler community college,15,15,35
Akamai Technologies,AKAM,akamai technologies,600,465,25419
Arista Networks,ANET,arista networks,295,266,2096
Citrix Systems,CTXS,citrix systems,1648,1305,46460
NetApp,NTAP,netapp,1876,1705,32143
Leidos Holdings,LDOS,leidos,3432,3356,71155
Gartner,IT,gartner,32,30,962
Black Knight,BKI,indiana black expo,72,72,58
Entegris,ENTG,entegris,839,711,9949
Jack Henry & Associates,JKHY,jack miller center,3,3,7
Nuance Communications,NUAN,nuance communications,1837,1575,53731
VMware,VMW,vmware,3638,3139,61242
Cree,CREE,cree inc,2527,1793,60791
Guidewire Software,GWRE,guidewire software,44,38,295
First Solar,FSLR,first international computer,16,16,7
Aspen Technology,AZPN,aspen institute,156,153,883
Juniper Networks,JNPR,juniper networks,2860,2490,50810
Manhattan Associates,MANH,lower manhattan hospital,101,101,1787
Littelfuse,LFUS,littelfuse,497,398,4561
Dolby Laboratories,DLB,dolby laboratories,1881,1415,27356
Brooks Automation,BRKS,brooks automation inc,342,277,8080
FireEye,FEYE,fireeye inc,232,151,10428
Cirrus Logic,CRUS,cirrus logic,2120,1687,38453
Power Integrations,POWI,central water and power research station,254,254,1867
FLIR Systems,FLIR,flir systems,675,534,7410
Pure Storage,PSTG,wako pure chemical industries ltd,584,453,8160
Advanced Energy Industries,AEIS,alberta advanced education,8,8,49
Coherent,COHR,coherent inc,833,757,11866
CMC Materials,CCMP,cmc limited,28,27,564
Itron,ITRI,itron,607,495,8442
Digital Turbine,APPS,digital public library of america,9,8,9
KBR,KBR,kbr,349,309,3626
New Relic,NEWR,museum of the city of new york,19,19,33
Box,BOX,box hill hospital,1233,1226,49171
Cloudera,CLDR,cloudera,85,76,2255
Insight Enterprises,NSIT,global insight,36,33,662
Kulicke & Soffa Industries,KLIC,kulicke and soffa industries inc,248,233,4364
Cornerstone Ondemand,CSOD,cornerstone research,543,490,9098
InterDigital,IDCC,interdigital inc,4303,3230,110582
ViaSat,VSAT,viasat,686,454,7872
Amkor Technology,AMKR,amkor technology,1103,911,24786
OSI Systems,OSIS,osi pharmaceuticals,409,368,22962
PDF Solutions,PDFS,pdf solutions,278,237,2824
SMART Global Holdings,SGH,smart technologies,310,269,8427
Axcelis Technologies,ACLS,axcelis technologies,608,530,8020
nLIGHT,LASR,nlight,123,123,986
Sykes Enterprises,SYKE,sykes enterprises,149,137,1290
Ultra Clean Holdings,UCTT,ultra,2753,2589,27929
Impinj,PI,impinj,271,194,3652
CEVA,CEVA,ceva logistics,793,739,6854
Photronics,PLAB,photronics inc,376,363,1628
Switch,SWCH,switch,2039,1951,19460
Super Micro Computer,SMCI,max super speciality hospital,568,567,1950
Extreme Networks,EXTR,extreme networks,349,302,11586
American Software,AMSWA,american school of classical studies at athens,91,91,786
Avid Technology,AVID,avid radiopharmaceuticals,239,237,9679
International Money Express,IMXI,helpage international,45,45,988
Ribbon Communications,RBBN,white ribbon alliance,18,18,98
Casa Systems,CASA,casa sollievo della sofferenza,6209,6185,181895
Grid Dynamics Holdings,GDYN,grid arendal,63,63,1767
Tesla Inc,TSLA,ericsson nikola tesla,391,386,1656
Plug Power Inc.,PLUG,plug power,216,193,4120
Toyota Motor Corp.,7203,toyota motorsport gmbh,21,18,75
General Electric Company,GE,mallow general hospital,43,43,418
General Motors Company,GM,mallow general hospital,43,43,418
BlackBerry Limited,BB,blackberry limited,8199,7212,179091
